age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
54,0,1,2,0,184,0,0,2,5,3,673,2,-1,0,1
62,4,1,2,0,2557,1,0,0,14,5,211,1,216,7,0
31,2,2,2,0,399,1,0,0,6,3,333,1,-1,0,1
41,3,2,2,0,16,0,0,2,23,3,95,1,-1,0,1
54,1,1,0,0,6242,1,0,0,7,3,162,1,-1,0,1
34,3,1,2,0,676,0,0,1,11,4,486,1,-1,0,1
40,5,2,1,0,224,1,0,0,17,0,875,2,-1,0,1
26,6,2,1,0,111,0,0,0,9,1,537,1,-1,0,1
54,4,0,2,0,3076,0,0,0,27,3,367,2,-1,0,1
63,4,1,1,0,2896,0,0,0,4,2,180,2,-1,0,1
